,brand,model,price (eur),engine,year,mileage (kms),fuel,gearbox,location
244,Porsche,Cayenne,28380,3.0 TD Tiptronic,2013,122000,Diésel,Automatica,Sabadell 1
245,Audi,A3,25330,S line 35 TFSI 110kW (150CV) Sedan,2019,63500,Gasolina,Automatica,Sabadell 1
246,Toyota,Auris,10880,90D Active Touring Sports,2014,122800,Diésel,Manual,Sabadell 1
247,Peugeot,3008,21490,1.5L BlueHDi 96kW (130CV) S&S Allure,2018,93380,Diésel,Automatica,Sabadell 2
248,Audi,A1,12990,S LINE ,2015,85700,Gasolina,Manual,Sabadell 2
249,SEAT,Ibiza,11990,1.2 TSI 105cv FR,2015,56455,Gasolina,Manual,Mataró
250,Mercedes,Benz Clase C,23990,C 220  AMG Line,2015,144100,Diésel,Automatica,Mataró
251,Audi,A1,15490,1.6 TDI Attraction,2016,113000,Diésel,Manual,Granollers
252,Kia,Picanto,8680,1.0 CVVT 49kW (66CV) Tech,2017,65600,Gasolina,Manual,Sabadell 1
253,Citroen,C4,10490,C4 BlueHDi 120 S&S EAT6 Feel Edition,2016,120000,Diésel,Manual,Sabadell 1
254,Renault,Captur,21990,Zen+ TCe 96kW (130CV) EDC,2020,3300,Gasolina,Automatica,Granollers
255,Citroen,Berlingo,7490,1.6 HDi 90 Seduction,2012,160000,Diésel,Manual,Granollers
256,Citroen,DS3,8490,1.2 VTi 82 Design,2014,150075,Gasolina,Manual,Esplugas
257,Land,Rover Range Rover Evoque,23990,2.0L TD4 Diesel 150CV 4x4 SE Dynamic,2015,75756,Diésel,Automatica,Esplugas
258,Ford,Ka+,10490,1.2 Ti-VCT 63kW Active,2019,40843,Gasolina,Manual,Esplugas
259,Nissan,Qashqai,10990,"2.0 dCi TEKNA PREMIUM 4x4 18"" Piel",2011,138550,Diésel,Manual,Esplugas
260,Citroen,C5 Aircross,23990,BlueHdi 96kW (130CV) S&S C Series,2021,27200,Diésel,Manual,Esplugas
261,Jaguar,F-Pace,28990,2.0L i4D AWD Automático Pure,2016,82000,Diésel,Automatica,Badalona
262,Opel,Crossland X,15490,1.2 96kW (130CV) Innovation S/S,2019,66500,Gasolina,Manual,Hospitalet
263,BMW,Serie 3,16990,318d Touring,2016,132450,Diésel,Manual,Hospitalet
264,SEAT,Ibiza,9290,1.0 EcoTSI 95cv Style Connect,2015,122800,Gasolina,Manual,Sabadell 2
265,Mitsubishi,ASX,15990,160 MPI Motion,2018,60000,Gasolina,Manual,Granollers
266,Peugeot,308,14990,5p Allure 2.0 BlueHDi 110KW (150CV),2017,88300,Diésel,Automatica,Sabadell 2
267,Dacia,Sandero,7990,Laureate 1.2 75cv,2016,45190,Gasolina,Manual,Sabadell 2
268,Jaguar,F-Pace,41990,3.0L TDV6 AWD Automático S,2016,53995,Diésel,Automatica,Mataró
269,Toyota,Yaris,11990,1.0 70 Active,2019,28392,Gasolina,Manual,Mataró
270,Mini,Countryman,23990,Cooper D,2018,40900,Diésel,Manual,Hospitalet
271,Ford,Tourneo Courier,10990,1.6 TDCi 95cv Trend,2015,121846,Diésel,Manual,Mataró
272,Land,Rover Range Rover Evoque,39990,2.0L Si4 213kW 4x4 HSE Dynamic Auto,2017,32703,Gasolina,Automatica,Mataró
273,Kia,Carens,13990,1.7 CRDi VGT 104kW(115CV) Drive Eco-Dyn,2016,62900,Diésel,Manual,Hospitalet
274,Mini,Mini,14990,ONE D 5 PUERTAS,2017,113275,Diésel,Manual,Hospitalet
275,Peugeot,208,10990,5P STYLE 1.6 BlueHDi 73KW (100CV),2017,58323,Diésel,Manual,Gavá
276,Peugeot,308,12990,5p Access 1.6 BlueHDi 73KW (100CV),2018,82172,Diésel,Manual,Gavá
277,SEAT,Arona,14990,1.0 TSI 70kW (95CV) Style Ecomotive,2018,81533,Gasolina,Manual,Gavá
278,Toyota,C-HR,19990,1.8 125H Advance,2018,51520,Híbrido,Automatica,Gavá
279,Volkswagen,Passat CC,16990,2.0 TDI 140cv DSG BlueMotion Technology,2015,140927,Diésel,Automatica,Viladecans
280,Citroen,C-Elysée,11990,BlueHDi 73KW (100CV) Shine,2018,51712,Diésel,Manual,Viladecans
281,Ford,Fiesta,8990,1.25 Duratec 82cv Trend 5p,2016,64175,Gasolina,Manual,Viladecans
282,Audi,A5,15490,Coupé 2.0 TDI 177 multitronic,2014,179383,Diésel,Automatica,Viladecans
283,SEAT,Ibiza,12990,1.0 EcoTSI 70kW Style Connect,2017,17561,Gasolina,Manual,Viladecans
284,Volkswagen,Polo,11990,Advance 1.2 TSI 90CV BMT DSG,2015,95677,Gasolina,Automatica,Mataró
285,SEAT,Ibiza,12990,1.0 MPI 59kW (80CV) Style,2018,60000,Gasolina,Manual,Sabadell 3
286,Toyota,Avensis,14990,2.0 150D BUSINESS ADVANCE TS,2018,119000,Diésel,Manual,Mataró
287,Volkswagen,Golf,14990,2.0 TDI 150cv DSG,2013,141100,Diésel,Automatica,Mataró
288,Mercedes,Benz Clase E,39990,Coupé E 220 d,2018,99700,Diésel,Automatica,Sabadell 3
289,Nissan,Qashqai,18490,dCi 85 kW (115 CV) E6D DCT N-CONNECTA,2019,118700,Diésel,Manual,Sabadell 3
290,Ford,Kuga,14990,1.5 TDCi 88kW 4x2 A-S-S Trend,2017,69000,Diésel,Manual,Sabadell 3
291,Fiat,500X,13990,City Cross 1.6 E-Torq 81kW (110CV) 4x2,2019,68300,Gasolina,Manual,Sabadell 3
292,Fiat,500X,14990,Cross 1.4 MultiAir 103kW (140CV) 4x2,2017,89000,Gasolina,Automatica,Viladecans
293,Citroen,C4 Cactus,9990,PureTech 81KW (110CV) S&S Feel,2016,118069,Gasolina,Manual,Granollers
294,SEAT,Tarraco,24990,2.0 TDI 110kW (150CV) S&S Style Plus,2019,65833,Diésel,Manual,Mataró
295,Mercedes,Benz Citan,11990,109 CDI Tourer Base BE,2018,82000,Diésel,Manual,Badalona
296,Ford,EcoSport,15490,1.0T EcoBoost 92kW (125CV) S&S ST Line,2019,25000,Gasolina,Manual,Badalona
297,Citroen,C4 Aircross,10990,HDi 150cv 4x4 Exclusive,2012,97500,Diésel,Manual,Badalona
298,SEAT,Ateca,18990,1.6 TDI 85kW (115CV) St&Sp Style Eco,2018,112250,Diésel,Manual,Hospitalet
299,Peugeot,3008,19490,1.6BLUEHDI 120 HP ALLURE S&S,2016,95200,Diésel,Manual,Hospitalet
300,Citroen,C4 Picasso,10990,1.6 HDi 90cv Attraction,2014,86007,Diésel,Manual,Viladecans
301,Suzuki,Vitara,15490,1.4 T GLX,2019,72073,Gasolina,Manual,Viladecans
302,Peugeot,208,7490,5P ALLURE 1.2L PureTech 82,2015,145954,Gasolina,Manual,Viladecans
303,BMW,Serie 1,12490,116d,2013,75600,Diésel,Manual,Hospitalet
304,Audi,Q3,21490,Sport ed 2.0 TDI 135kW(184CV) quat S tro,2017,161400,Diésel,Automatica,Hospitalet
305,Hyundai,ix20,9990,1.4 MPI Klass,2014,57800,Gasolina,Manual,Hospitalet
306,Skoda,Rapid,8210,1.2 TSI 66KW (90cv) Active,2016,73000,Gasolina,Manual,Sabadell 1
307,Peugeot,208,15990,PureTech 73kW (100CV) EAT8 Active,2020,21660,Gasolina,Automatica,Sabadell 3
308,Fiat,Tipo,6990,1.4 Lounge 88kW (120CV) gasolina/GLP 5p.,2018,189800,GLP,Manual,Sabadell 3
309,BMW,X1,10990,sDrive20d,2012,135000,Diésel,Manual,Sabadell 3
310,Hyundai,ix35,7990,1.7 CRDi GL Classic 4x2,2012,186350,Diésel,Manual,Sabadell 3
311,BMW,Serie 1,15990,116d EfficientDynamics,2017,98600,Diésel,Manual,Sabadell 3
312,BMW,X1,20490,xDrive18d,2018,110000,Diésel,Automatica,Sabadell 3
313,Ford,Fiesta,13990,1.5 TDCi 63kW Trend+ 5p,2018,28467,Diésel,Manual,Sabadell 3
314,Citroen,C3,11990,CITROEN C3 EDITION ELLE,2019,44200,Gasolina,Manual,Sabadell 3
315,BMW,Serie 3,15490,318d Touring,2015,144900,Diésel,Automatica,Sabadell 3
316,Toyota,Auris,15990,1.8 140H Advance Touring Sports,2018,64000,Híbrido,Automatica,Sabadell 3
317,Audi,Q3,29990,35 TFSI 110kW (150CV),2019,18200,Gasolina,Automatica,Sabadell 1
318,Fiat,Tipo,9990,1.4 16v Lounge 70kW (95CV) gasolina 5p.,2017,80131,Gasolina,Manual,Sabadell 2
319,Fiat,500,11490,Lounge 1.2 8v 51KW (69 CV),2019,40000,Gasolina,Manual,Granollers
320,Kia,Picanto,10990,1.0 CVVT 49kW (67CV) Concept,2019,16509,Gasolina,Manual,Granollers
321,Mercedes,Benz Clase GLE Coupé,58990,Mercedes-AMG GLE 43 4MATIC,2018,111000,Gasolina,Automatica,Granollers
322,Peugeot,2008,12490,Allure 1.2 PureTech 130 S&S,2016,87000,Gasolina,Manual,Granollers
323,Mercedes,Benz Clase GLC,34990,GLC 250 d 4MATIC,2018,77738,Diésel,Automatica,Esplugas
324,Smart,Fortwo,10490,0.9 66kW (90CV) S/S PROXY COUPE,2016,51500,Gasolina,Manual,Badalona
325,Peugeot,308,10990,5p Access 1.6 BlueHDi 73KW (100CV),2017,115000,Diésel,Manual,Granollers
326,BMW,Serie 3,23990,320d xDrive Gran Turismo,2017,126000,Diésel,Automatica,Granollers
327,Mitsubishi,ASX,9990,200 DI-D Motion,2011,98814,Diésel,Manual,Esplugas
328,BMW,X5,30990,sDrive25d,2018,101240,Diésel,Automatica,Viladecans
329,Volkswagen,Scirocco,16990,Typhoon by R-Line 1.4 TSI 92kW (125CV),2017,73153,Gasolina,Manual,Gavá
330,Volkswagen,Golf,14990,Advance 1.6 TDI BMT,2017,65655,Diésel,Manual,Gavá
331,Renault,Clio,6990,Dynamique Energy dCi 90 S&S eco2,2013,161540,Diésel,Manual,Hospitalet
332,BMW,Serie 5,20990,520d,2017,178000,Diésel,Automatica,Sabadell 3
333,Volkswagen,Golf,10990,Advance 1.6 TDI 105cv BMT DSG,2013,136000,Diésel,Automatica,Sabadell 3
334,SEAT,Ibiza,9490,1.6 TDI 105cv FR,2015,112700,Diésel,Manual,Hospitalet
335,Jaguar,XE,22990,2.0 Diesel 132kW RWD Pure Auto,2019,51080,Diésel,Automatica,Sabadell 2
336,Nissan,X-Trail,19970,7 Pl. DIG-T 120 kW (163 CV) N-CONNECTA,2018,55250,Gasolina,Manual,Sabadell 1
337,Nissan,JUKE,11180,DIG-T EU6 85 kW (115 CV) 6M/T ACENTA,2018,122900,Gasolina,Manual,Sabadell 1
338,Ford,Focus,15990,1.0 Ecoboost 92kW ST-Line,2019,30058,Gasolina,Manual,Sabadell 2
339,Ford,Kuga,23490,Titanium 1.5 EcoBlue 88kW (120CV) Auto,2020,28000,Diésel,Automatica,Sabadell 2
340,Kia,Ceed,15990,1.0 T-GDi 88kW (120CV) Business,2020,22800,Gasolina,Manual,Sabadell 2
341,Volkswagen,T-Roc,23460,Advance Style 2.0 TDI 110kW (150CV),2019,19500,Diésel,Manual,Sabadell 1
342,Honda,CR-V,14990,2.2 i-DTEC Comfort,2013,110000,Diésel,Manual,Sabadell 1
343,Mercedes,Benz Vito,16490,110 CDI Compacta,2014,70000,Diésel,Manual,Sabadell 1
344,Kia,Sportage,14490,1.7 CRDi VGT 115CV Drive 4x2 Eco-Dynam,2016,118000,Diésel,Manual,Sabadell 1
345,SEAT,Leon,13580,2.0 TDI 150cv St&Sp FR,2014,90000,Diésel,Manual,Sabadell 1
346,Ford,Kuga,13990,2.0 TDCi 140 4x2 Trend,2014,69429,Diésel,Manual,Esplugas
347,Smart,Forfour,12490,60kW(81CV) electric drive,2018,60000,Eléctrico,Automatica,Badalona
348,Toyota,Yaris,10990,1.0 70 Business,2019,16184,Gasolina,Manual,Mataró
349,Jeep,Renegade,24990,Limited 1.3G 112kW (150CV) 4x2 DCT,2021,6500,Gasolina,Automatica,Badalona
350,Mini,Mini,14990,Mini Cooper Cabrio,2016,62832,Gasolina,Manual,Sabadell 3
351,Toyota,Auris,17490,1.8 140H Hybrid Advance,2016,36000,Híbrido,Automatica,Badalona
352,Kia,Picanto,11990,1.0 DPi 49kW (67CV) Concept,2021,3800,Gasolina,Manual,Badalona
353,Mini,Countryman,14990,COOPER D COUNTRYMAN automático,2015,145278,Diésel,Automatica,Esplugas
354,Ford,Grand C-Max,11490,1.5 TDCi 120CV Titanium,2016,165000,Diésel,Manual,Hospitalet
355,Mitsubishi,Outlander,10990,2.2 2WD Intense,2014,154300,Diésel,Manual,Badalona
356,Kia,Stonic,15990,1.0 T-GDi 74kW (100CV) Tech,2019,64000,Gasolina,Manual,Hospitalet
357,Audi,A1,20990,30 TFSI 85kW (116CV) Sportback SLine ,2019,40457,Gasolina,Manual,Mataró
358,Opel,Astra,11490,1.6 CDTi S/S 110 CV Selective,2015,45300,Diésel,Manual,Hospitalet
359,Citroen,C4 Cactus,14480,BlueHDi 73KW (100CV) Shine,2018,41360,Diésel,Manual,Sabadell 1
360,Volvo,XC40,28990,1.5 T2 Momentum Core,2021,6000,Gasolina,Manual,Sabadell 3
361,Kia,Ceed,13990,1.0 T-GDi 88kW (120CV) Tech,2019,70000,Gasolina,Manual,Sabadell 3
362,Hyundai,Tucson,16990,1.6 GDi Tecno 4x2,2018,43390,Gasolina,Manual,Gavá
363,Citroen,C3,11990,PureTech 60KW (82CV) FEEL,2018,55145,Gasolina,Manual,Gavá
364,Renault,Megane,11990,Intens Energy dCi 81kW (110CV),2016,86310,Diésel,Manual,Granollers
365,Ford,Fiesta,8990,1.0 EcoBoost 100cv Powershift Trend 5p,2015,71100,Gasolina,Manual,Granollers
366,Nissan,Note,7490,5p. 1.2G 80CV Acenta,2015,85000,Gasolina,Manual,Badalona
367,SEAT,Leon,10990,SC 1.2 TSI 110cv St&Sp Style,2014,95650,Gasolina,Manual,Badalona
368,Volkswagen,Tiguan,15990,Sport 2.0 TDI 140CV DSG BMT 4Motion,2015,146500,Diésel,Automatica,Badalona
369,Fiat,Tipo,9990,1.3 Lounge 70kW (95CV) diesel Multijet,2017,73700,Diésel,Manual,Sabadell 2
370,Mercedes,Benz Clase GLA,27990,GLA 220D acabado AMG,2018,75716,Diésel,Automatica,Viladecans
371,BMW,X5,82580,xDrive30d,2021,14000,Híbrido,Automatica,Sabadell 1
372,Opel,Corsa,10990,1.4 Selective 66kW (90CV),2018,47450,Gasolina,Manual,Hospitalet
373,Ford,Focus,16490,1.0 Ecoboost 92kW ST-Line,2019,28592,Gasolina,Manual,Esplugas
374,Peugeot,208,10490,5P STYLE 1.2L PureTech 110,2016,80826,Gasolina,Manual,Esplugas
375,Nissan,Qashqai,18490,DIG-T 117 kW (160 CV) E6D DCT N-CONNECTA,2019,109575,Gasolina,Automatica,Esplugas
376,Mini,Mini,20990,COOPER 5 PUERTAS,2019,20525,Gasolina,Automatica,Esplugas
377,SEAT,Leon,18990,1.5 TSI 110kW (150CV) DSG-7 St&Sp FR,2019,49200,Gasolina,Automatica,Hospitalet
378,Ford,Fiesta,13490,1.5 TDCi 63kW Active 5p,2019,71000,Diésel,Manual,Hospitalet
379,Renault,Clio,14990,Zen TCe 67 kW (91CV),2019,22137,Gasolina,Manual,Hospitalet
380,Jaguar,F-Pace,34990,2.0L i4D 177kW R-Sport AWD Auto,2018,32920,Diésel,Automatica,Badalona
381,SEAT,Ateca,20990,1.4 EcoTSI 110kW (150CV) DSG-7 S&S Xcel,2017,15000,Gasolina,Automatica,Badalona
382,Ford,Focus,17990,1.0 Ecoboost 92kW ST-Line,2019,42800,Gasolina,Manual,Badalona
383,Kia,Ceed,12990,1.4 CVVT 74kW (100CV) Drive,2018,30000,Gasolina,Manual,Badalona
384,Cupra,Ateca,31990,2.0 TSI 221kW (300CV) 4Drive DSG St&Sp,2019,30000,Gasolina,Automatica,Badalona
385,Toyota,Corolla,22990,2.0 180H FEEL! E-CVT TOURING SPORT,2020,21450,Híbrido,Automatica,Badalona
386,Volkswagen,Scirocco,16990,R-Line 2.0 TDI 110kW(150CV) BMT DSG,2017,110700,Diésel,Automatica,Badalona
387,Jeep,Compass,17990,1.4 Mair 103kW Longitude 4x2,2018,13000,Gasolina,Manual,Badalona
388,Kia,Sportage,9990,1.6 GDI Drive 4x2,2011,101000,Gasolina,Manual,Badalona
389,Audi,Q3,19990,2.0 TDI 184CV quattro S tronic,2016,144042,Diésel,Automatica,Badalona
390,Audi,A1,9990,1.6 TDI 90cv Attraction,2014,142359,Diésel,Manual,Badalona
391,Citroen,C3,7990,HDI 70 Collection,2014,47100,Diésel,Manual,Hospitalet
392,Mercedes,Benz Clase C,18970,C 220 BlueTEC,2015,170000,Diésel,Automatica,Sabadell 1
393,Ford,Focus,16990,1.0 Ecoboost 92kW Titanium,2019,26500,Gasolina,Manual,Hospitalet
394,Honda,Civic,36990,2.0 I-VTEC TURBO TYPE R S,2018,17349,Gasolina,Manual,Viladecans
395,Volvo,V40,13490,1.6 D2 Summum,2014,61987,Diésel,Manual,Viladecans
396,Opel,Zafira Tourer,10990,1.6 CDTi S/S 120 CV Expression,2016,82650,Diésel,Manual,Sabadell 2
397,Fiat,Panda,10490,1.2 City Cross 51kW (69CV) EU6,2018,53021,Gasolina,Manual,Viladecans
398,Audi,TT,23990,Roadster 2.0 TFSI 230CV quat S tr S line,2015,155223,Gasolina,Automatica,Viladecans
399,Mercedes,Benz Clase GLC,33860,GLC 220 d 4MATIC,2018,87500,Diésel,Automatica,Sabadell 1
400,Audi,A4,19590,2.0 TDI 110kW(150CV),2017,101567,Diésel,Manual,Viladecans
401,SEAT,Alhambra,12990,2.0 TDI 140 CV Ecomotive Style,2014,163000,Diésel,Manual,Sabadell 1
402,Ford,Focus,18780,1.0 Ecoboost 92kW Trend+,2019,71000,Gasolina,Manual,Sabadell 1
403,SEAT,Ibiza,11790,1.0 MPI 59kW (80CV) Style,2018,53000,Gasolina,Manual,Sabadell 1
404,Audi,A7,20990,Sportback 3.0 TDI 245cv quattro S tronic,2011,137000,Diésel,Automatica,Sabadell 1
405,SEAT,Leon,17490,ST 1.4 TSI 110kW ACT DSG-7 St&Sp FR,2017,47120,Gasolina,Automatica,Hospitalet
406,Jeep,Grand Cherokee,17360,3.0 V6 CRD Limited 241 CV,2011,160000,Diésel,Automatica,Sabadell 1
407,Fiat,500,12990,S 1.2 8v 51KW (69 CV),2019,28669,Gasolina,Manual,Granollers
408,SEAT,Leon,14990,2.0 TDI 150cv St&Sp FR,2015,147978,Diésel,Manual,Mataró
409,Ford,Fiesta,14490,1.0 EcoBoost 70kW (95CV) ST-Line S/S 5p,2020,11920,Gasolina,Manual,Sabadell 2
410,Kia,ProCeed,14490,1.6 CRDi VGT 128CV Emotion Eco-Dynamics,2015,92000,Diésel,Manual,Badalona
411,Renault,Espace,14990,Zen Energy dCi 160 Twin Turbo EDC,2015,130165,Diésel,Automatica,Gavá
412,Mazda,MX-5,16990,1.5 96kW (131CV) Luxury,2017,106000,Gasolina,Manual,Gavá
413,SEAT,Leon,24990,2.0 TSI 221kW (300CV) DSG-6 St&Sp CUPRA,2017,53500,Gasolina,Automatica,Gavá
414,SEAT,Ibiza,16990,1.5 TSI 110kW (150CV) FR,2018,92959,Gasolina,Manual,Mataró
415,Dacia,Logan,7490,MCV Laureate dCi 90,2015,50500,Diésel,Manual,Mataró
416,Citroen,C4 Cactus,8990,BlueHDi 100 Shine Edition Urban,2015,154565,Diésel,Manual,Mataró
417,Nissan,JUKE,9990,1.6 NARU EDITION 4X2,2013,95142,Gasolina,Manual,Mataró
418,Peugeot,108,7990,Top! Allure 1.2 PureTech 82,2015,61500,Gasolina,Manual,Mataró
419,Citroen,Berlingo,8990,Multispace LIVE Edition HDi 90 ,2016,142350,Diésel,Manual,Sabadell 3
420,Kia,Sportage,19990,1.7 CRDi VGT GT Line DCT 4x2 Eco-Dynam,2017,86600,Diésel,Automatica,Sabadell 3
421,Opel,Insignia,11990,1.6 CDTI S&S 88kW (120CV) Business,2017,98700,Diésel,Manual,Sabadell 3
422,Volkswagen,Tiguan,22490,Sport 2.0 TDI 150CV BMT 4Motion DSG,2016,141350,Diésel,Automatica,Sabadell 3
423,Ford,Focus,10990,1.5 TDCi E6 120cv PowerhS. Trend+,2016,125600,Diésel,Manual,Sabadell 3
424,Nissan,Qashqai,14990,dCi 81 kW (110 CV) ACENTA,2017,131000,Diésel,Manual,Sabadell 3
425,Peugeot,108,8990,1.2 PureTech 60KW (82CV),2018,60000,Gasolina,Manual,Granollers
426,Fiat,500X,17290,"City Cross 1,0 Firefly T3 88KW S&S",2020,13423,Gasolina,Manual,Granollers
427,Smart,Fortwo,12490,0.9 66kW (90CV) CABRIO,2017,68180,Gasolina,Automatica,Granollers
428,Volkswagen,Polo,9290,1.2 TSI 90cv R-Line,2013,129980,Gasolina,Manual,Sabadell 2
429,Ford,Focus,16490,1.0 Ecoboost 92kW ST-Line,2019,58520,Gasolina,Manual,Sabadell 2
430,Ford,Ka,7490,Trend+ 1.2 Duratec Auto-Start-Stop,2016,48000,Gasolina,Manual,Granollers
431,Mercedes,Benz Clase C,15990,C 220 CDI 4MATIC Estate,2014,201000,Diésel,Automatica,Sabadell 1
432,Mercedes,Benz Clase E,34490,Coupé E 220 d,2017,95950,Diésel,Automatica,Hospitalet
433,Toyota,Yaris,15990,1.5 Hybrid Active,2019,38255,Híbrido,Automatica,Esplugas
434,SEAT,Leon,8490,1.6 TDI 105cv E-Ecomotive Style,2012,169927,Diésel,Manual,Esplugas
435,Toyota,Land Cruiser,33990,2.8 D-4D VXL AUTO,2015,157515,Diésel,Automatica,Esplugas
436,Kia,Sorento,22490,2.2 CRDi 147kW (200CV) Drive Auto 4x2,2017,115601,Diésel,Automatica,Esplugas
437,Toyota,Yaris,14590,1.5 Hybrid Advance,2018,56935,Híbrido,Automatica,Viladecans
438,Mercedes,Benz Clase A,14490,A 200 CDI BlueEFFICIENCY AMG Sport,2013,145240,Diésel,Manual,Mataró
439,Opel,Adam,9990,1.2 XEL JAM,2016,32806,Gasolina,Manual,Mataró
440,Land,Rover Range Rover Evoque,22990,2.0L TD4 180CV 4x4 SE Dynamic Auto,2016,109296,Diésel,Automatica,Mataró
441,Opel,Astra,12490,1.4 Turbo S/S 92kW (125CV) Selective ST,2017,40000,Gasolina,Manual,Sabadell 3
442,Renault,Clio 4,11990,Zen Energy TCe 88kW (120CV),2016,56300,Gasolina,Manual,Sabadell 3
443,Ford,Focus,17990,1.0 Ecoboost 92kW ST-Line,2019,25543,Gasolina,Manual,Gavá
444,Toyota,Auris,12990,Hybrid Active,2014,65989,Híbrido,Automatica,Hospitalet
445,SEAT,Leon,16490,1.4 TSI 92kW (125CV) St&Sp FR,2016,63910,Gasolina,Manual,Hospitalet
446,Volkswagen,Golf,9990,Variant Advance 1.6 TDI 105cv BMT DSG,2013,158500,Diésel,Automatica,Badalona
447,Peugeot,2008,16990,Allure 1.2 PureTech 81KW (110CV) Auto,2019,32550,Gasolina,Automatica,Hospitalet
448,Mini,Countryman,19990,One,2018,28492,Gasolina,Manual,Sabadell 3
449,Nissan,JUKE,13990,G E6D-Temp 83 kW (112 CV) 5M/T ACENTA,2019,13500,Gasolina,Manual,Hospitalet
450,Volvo,XC40,28490,2.0 D4 AWD Momentum Auto,2018,128000,Diésel,Automatica,Sabadell 3
451,Audi,A5,32490,40 TDI  140kW quattro S tronic Sportback S-LINE,2019,61800,Diésel,Automatica,Sabadell 3
452,Peugeot,3008,23490,2.0BLUEHDI 133KW (180CV) GT AUTO S&S,2018,130500,Diésel,Automatica,Sabadell 3
453,SEAT,Leon,16710,1.5 TSI 110kW (150CV) DSG-7 S&S FR Ed Pl,2019,50500,Gasolina,Manual,Sabadell 1
454,Toyota,Rav4,31990,2.5. Hibryd 180 CV. Automatica,2020,21000,Híbrido,Automatica,Sabadell 1
455,Toyota,Rav4,19990,2.5l hybrid 2WD Advance,2017,133000,Híbrido,Automatica,Sabadell 1
456,Renault,Grand Scenic,18990,Zen Energy TCe 103kW (140CV) EDC,2018,46000,Gasolina,Manual,Badalona
457,Dacia,Sandero,8990,Stepway dCi 90,2015,96960,Diésel,Manual,Sabadell 1
458,Mercedes,Benz Clase GLE,28990,GLE 250 d 4MATIC,2016,103500,Diésel,Automatica,Sabadell 1
459,Mazda,MX-5,21490,2.0 118kW (160CV) Zenith,2018,18000,Gasolina,Manual,Sabadell 1
460,Land,Rover Range Rover Evoque,17490,2.2L TD4 150CV 4x4 Dynamic,2013,137000,Diésel,Manual,Sabadell 1
461,Volkswagen,Scirocco,12990,1.4 TSI 122cv by R-Line,2013,113800,Gasolina,Manual,Mataró
462,Peugeot,Partner,14990,TEPEE Outdoor 1.6 BlueHDi 73KW (100CV),2017,87550,Diésel,Manual,Mataró
463,Mercedes,Benz Clase A,22990,A 180 d,2018,56099,Diésel,Automatica,Gavá
464,Mercedes,Benz Clase C,19990,C 220 BlueTEC Estate,2015,108000,Diésel,Automatica,Gavá
465,Cupra,Formentor,27990,1.5 TSI 110kW (150 CV),2021,6308,Gasolina,Manual,Sabadell 2
466,Fiat,500L,8790,1.3 16v Multijet II 85CV Start&Stop,2014,109162,Diésel,Manual,Sabadell 2
467,Renault,Grand Scenic,17490,Edition One Energy TCe 97kW (130CV),2017,47154,Gasolina,Manual,Viladecans
468,Renault,Talisman,14990,Limited Energy dCi 81kW (110CV),2018,41368,Diésel,Manual,Viladecans
469,Mazda,CX-3,22490,2.0 SKYACTIV GE Luxury 2WD AT,2018,20545,Gasolina,Automatica,Viladecans
470,Honda,CR-V,17990,1.6 i-DTEC 88kW (120CV) 4x2 Eleg Pl Nav,2016,63800,Diésel,Manual,Badalona
471,Mitsubishi,ASX,15990,160 MPI Motion,2018,95274,Gasolina,Manual,Viladecans
472,Peugeot,308,9990,SW Active 1.6 BlueHDi 100 FAP,2015,116806,Diésel,Manual,Viladecans
473,Land,Rover Range Rover Evoque,20490,2.2L SD4 190CV 4x4 Prestige Limited Edition,2014,186166,Diésel,Automatica,Viladecans
474,BMW,Serie 3,20990,318dA Gran Turismo,2015,126000,Diésel,Automatica,Viladecans
475,Mazda,Mazda3,18990,1.8 SKYACTIV-D ORIGIN,2019,41000,Diésel,Manual,Badalona
476,Honda,Civic,15490,1.0 I-VTEC TURBO COMFORT,2017,95694,Gasolina,Manual,Viladecans
477,Toyota,Yaris,10990,1.5 Hybrid Active,2016,97500,Híbrido,Automatica,Badalona
478,Porsche,Cayenne,38490,S Diesel,2017,162573,Diésel,Automatica,Esplugas
479,SEAT,Leon,28990,2.0 TSI 213kW (290CV) DSG-7 St&Sp Cupra,2020,9870,Gasolina,Automatica,Esplugas
480,Mercedes,Benz Clase GLA,23990,GLA 220 d,2018,46178,Diésel,Automatica,Esplugas
481,SEAT,Ibiza,13990,1.0 EcoTSI 85kW (115CV) FR,2018,82477,Gasolina,Manual,Esplugas
482,BMW,Serie 4,24490,430dA Gran Coupe,2017,178060,Diésel,Automatica,Hospitalet
483,SEAT,Leon,12990,1.4 TSI 140cv St&Sp FR,2014,80500,Gasolina,Manual,Hospitalet
484,Renault,Scenic,23490,Zen Blue dCi 110 kW (150CV) EDC - SS,2020,13379,Diésel,Manual,Sabadell 3
485,Audi,A3,17490,2.0 TDI clean d 150CV S line edition,2016,113800,Diésel,Manual,Sabadell 3
486,Fiat,500L,14490,1.4 16v 70kW (95CV) City Cross,2019,24300,Gasolina,Manual,Sabadell 3
487,Renault,Clio,10990,Zen Energy TCe 66kW (90CV) -18,2018,55055,Gasolina,Manual,Sabadell 3
488,Ford,Focus,16990,1.0 Ecoboost 92kW ST-Line Auto,2019,62000,Gasolina,Automatica,Gavá
489,Ford,Fiesta,14990,1.0 EcoBoost 74kW Active S/S 5p,2019,21000,Gasolina,Manual,Gavá
